ville_nom,ville_code_postal,ville_population_2012,ville_longitude_deg,ville_latitude_deg
PARIS,75001-75002-75003-75004-75005-75006-75007-75008-75009-75010-75011-75012-75013-75014-75015-75016-75017-75018-75019-75020-75116,2211000,2.34445,48.86
MARSEILLE,13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016,851400,5.37639,43.2967
LYON,69001-69002-69003-69004-69005-69006-69007-69008-69009,474900,4.84139,45.7589
TOULOUSE,31000-31100-31200-31300-31400-31500,439600,1.43333,43.6
NICE,06000-06100-06200-06300,344900,7.25,43.7
NANTES,44000-44100-44200-44300,283300,-1.55,47.2167
STRASBOURG,67000-67100-67200,272100,7.75,48.5833
MONTPELLIER,34000-34070-34080-34090,253000,3.88333,43.6
BORDEAUX,33000-33100-33200-33300-33800,235900,-0.566667,44.8333
LILLE,59000-59160-59260-59777-59800,225800,3.06667,50.6333
RENNES,35000-35200-35700,206700,-1.68333,48.0833
REIMS,51100,181500,4.03333,49.25
LE HAVRE,76600-76610-76620,178800,0.133333,49.5
SAINT-ETIENNE,42000-42100-42230,172700,4.4,45.4333
TOULON,83000-83100-83200,166700,5.93333,43.1167
GRENOBLE,38000-38100,156700,5.71667,45.1667
DIJON,21000-21100,151600,5.01667,47.3167
ANGERS,49000-49100,148400,-0.55,47.4667
SAINT-DENIS,97490,145022,46.7107,1.71819
LE MANS,72000-72100,143500,0.2,48
AIX-EN-PROVENCE,13080-13090-13100-13290-13540,142700,5.43333,43.5333
BREST,29200,142100,-4.48333,48.4
VILLEURBANNE,69100,141100,4.88333,45.7667
NIMES,30000-30900,140300,4.35,43.8333
LIMOGES,87000-87100-87280,140100,1.25,45.85
CLERMONT-FERRAND,63000-63100,139000,3.08333,45.7833
TOURS,37000-37100-37200,135500,0.683333,47.3833
AMIENS,80000-80080-80090,134400,2.3,49.9
METZ,57000-57050-57070,122800,6.16667,49.1333
BESANCON,25000,117600,6.03333,47.25
PERPIGNAN,66000-66100,116700,2.88333,42.6833
ORLEANS,45000-45100,113300,1.9,47.9167
BOULOGNE-BILLANCOURT,92100,112200,2.25,48.8333
MULHOUSE,68100-68200,111900,7.33333,47.75
CAEN,14000,109900,-0.35,49.1833
ROUEN,76000-76100,109400,1.08333,49.4333
NANCY,54100,106400,6.2,48.6833
SAINT-DENIS,93200-93210,103700,2.35833,48.9333
SAINT-PAUL,97460,103346,-21.0033,55.2833
ARGENTEUIL,95100,103300,2.25,48.95
MONTREUIL,93100,102200,2.43333,48.8667
ROUBAIX,59100,95900,3.16667,50.7
DUNKERQUE,59140-59240-59430-59640-59279,93600,2.36667,51.05
TOURCOING,59200,92600,3.15,50.7167
AVIGNON,84000,90100,4.81667,43.95
NANTERRE,92000,89600,2.2,48.9
POITIERS,86000,89300,0.333333,46.5833
CRETEIL,94000,89300,2.46667,48.7833
